CODIGO_CLIENTE;FECHA_CONTACTO;CANAL;COD_CANAL;COD_SERVICIO;sexo;Fecha de nacimiento;segmento;producto1;producto2;producto3
1;19/10/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;3/06/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;2/04/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;24/04/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;1/04/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;7/07/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;11/01/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;5/03/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;24/01/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;10/04/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;1/10/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;23/05/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;24/11/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;12/04/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;6/11/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;17/04/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;17/12/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;7/06/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;21/03/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;31/07/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;8/06/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;17/04/2020;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;22/11/2019;OFICINAS;1;5;m;8/01/1974;rentas masivas;si;si;no
1;20/04/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;23/03/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;20/03/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;2/06/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;10/07/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;15/04/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;28/04/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;8/06/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;14/05/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;8/09/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;15/08/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;20/05/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;24/05/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;22/03/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;12/04/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;5/01/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;30/11/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;22/01/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;21/02/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;8/10/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;20/01/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;28/06/2019;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;1/01/2020;OFICINAS;1;10;m;8/01/1974;rentas masivas;si;si;no
1;9/11/2019;OFICINAS;1;15;m;8/01/1974;rentas masivas;si;si;no
1;14/03/2019;OFICINAS;1;15;m;8/01/1974;rentas masivas;si;si;no
1;5/01/2019;OFICINAS;1;15;m;8/01/1974;rentas masivas;si;si;no
1;23/02/2019;OFICINAS;1;15;m;8/01/1974;rentas masivas;si;si;no
1;7/12/2019;OFICINAS;1;15;m;8/01/1974;rentas masivas;si;si;no
